code,name,sector,enabled
300059.SZ,东方财富,,true
300750.SZ,宁德时代,,true
002594.SZ,比亚迪,,true
002261.SZ,拓维信息,,true
600519.SH,贵州茅台,,true
300476.SZ,胜宏科技,,true
002475.SZ,立讯精密,,true
688256.SH,寒武纪,,true
300502.SZ,新易盛,,true
601899.SH,紫金矿业,,true
300308.SZ,中际旭创,,true
002195.SZ,岩山科技,,true
601127.SH,赛力斯,,true
603300.SH,海南华铁,,true
600126.SH,杭钢股份,,true
688981.SH,中芯国际,,true
000063.SZ,中兴通讯,,true
000158.SZ,常山北明,,true
601318.SH,中国平安,,true
600580.SH,卧龙电驱,,true
600036.SH,招商银行,,true
000333.SZ,美的集团,,true
000858.SZ,五 粮 液,,true
300100.SZ,双林股份,,true
300339.SZ,润和软件,,true
600276.SH,恒瑞医药,,true
600900.SH,长江电力,,true
603259.SH,药明康德,,true
002276.SZ,万马股份,,true
300274.SZ,阳光电源,,true
300766.SZ,每日互动,,true
601398.SH,工商银行,,true
002050.SZ,三花智控,,true
688041.SH,海光信息,,true
300033.SZ,同花顺,,true
000977.SZ,浪潮信息,,true
601288.SH,农业银行,,true
603986.SH,兆易创新,,true
600030.SH,中信证券,,true
600418.SH,江淮汽车,,true
600839.SH,四川长虹,,true
002031.SZ,巨轮智能,,true
300738.SZ,奥飞数据,,true
300353.SZ,东土科技,,true
300251.SZ,光线传媒,,true
002165.SZ,红 宝 丽,,true
002371.SZ,北方华创,,true
300115.SZ,长盈精密,,true
300458.SZ,全志科技,,true
300170.SZ,汉得信息,,true
300065.SZ,海兰信,,true
603501.SH,豪威集团,,true
601933.SH,永辉超市,,true
600988.SH,赤峰黄金,,true
600602.SH,云赛智联,,true
000651.SZ,格力电器,,true
601689.SH,拓普集团,,true
600050.SH,中国联通,,true
302132.SZ,中航成飞,,true
600589.SH,大位科技,,true
603881.SH,数据港,,true
002131.SZ,利欧股份,,true
300718.SZ,长盛轴承,,true
603993.SH,洛阳钼业,,true
300124.SZ,汇川技术,,true
601020.SH,华钰矿业,,true
601881.SH,中国银河,,true
002335.SZ,科华数据,,true
002714.SZ,牧原股份,,true
002155.SZ,湖南黄金,,true
300007.SZ,汉威科技,,true
002553.SZ,南方精工,,true
002851.SZ,麦格米特,,true
300058.SZ,蓝色光标,,true
300394.SZ,天孚通信,,true
600309.SH,万华化学,,true
000818.SZ,航锦科技,,true
603799.SH,华友钴业,,true
002570.SZ,贝因美,,true
600150.SH,中国船舶,,true
600111.SH,北方稀土,,true
