code,name,sector,enabled
300308.SZ,,,true
300502.SZ,,,true
300274.SZ,,,true
601138.SH,,,true
300476.SZ,,,true
688256.SH,,,true
300750.SZ,,,true
002050.SZ,,,true
000063.SZ,,,true
002475.SZ,,,true
300394.SZ,,,true
603986.SH,,,true
601899.SH,,,true
688981.SH,,,true
300059.SZ,,,true
300475.SZ,,,true
600089.SH,,,true
600111.SH,,,true
688041.SH,,,true
002460.SZ,,,true
000547.SZ,,,true
002407.SZ,,,true
603799.SH,,,true
002709.SZ,,,true
301308.SZ,,,true
603019.SH,,,true
600519.SH,,,true
002384.SZ,,,true
600118.SH,,,true
300014.SZ,,,true
002837.SZ,,,true
300058.SZ,,,true
600030.SH,,,true
601012.SH,,,true
002466.SZ,,,true
000988.SZ,,,true
002463.SZ,,,true
688008.SH,,,true
601318.SH,,,true
603993.SH,,,true
002594.SZ,,,true
603259.SH,,,true
001309.SZ,,,true
603083.SH,,,true
600105.SH,,,true
688012.SH,,,true
000977.SZ,,,true
300548.SZ,,,true
002371.SZ,,,true
300604.SZ,,,true
